fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,ticker
2013-06-30,EUR,1907000000,5695000000,3788000000,3788000000,-115000000,228000000,972000000,2022000000,None,None,None,57000000,None,None,None,None,-175000000,103000000,None,0,None,-175000000,-115000000,-227000000,NOK
2013-03-31,EUR,1839000000,5852000000,4013000000,4013000000,-150000000,212000000,1011000000,1989000000,None,None,None,106000000,None,None,None,None,-257000000,82000000,None,0,None,-257000000,-150000000,-272000000,NOK
2012-12-31,EUR,2584000000,8041000000,5457000000,5457000000,439000000,220000000,1123000000,3835000000,None,None,None,6000000,None,None,None,-1540000000,375000000,120000000,None,0,None,439000000,-1101000000,202000000,NOK
2012-09-30,EUR,1991000000,7239000000,5248000000,5248000000,-576000000,236000000,1119000000,2054000000,None,None,None,97000000,None,None,None,515000000,-671000000,272000000,None,0,None,-576000000,-61000000,-969000000,NOK
2012-06-30,EUR,1781000000,7542000000,5761000000,5761000000,-826000000,220000000,1231000000,2338000000,None,None,None,48000000,None,None,None,265000000,-878000000,651000000,None,0,None,-826000000,-561000000,-1410000000,NOK
2012-03-31,EUR,2034000000,7354000000,5320000000,5320000000,-1340000000,283000000,1309000000,2466000000,None,None,None,129000000,None,None,None,907000000,-1470000000,102000000,None,0,None,-1340000000,-433000000,-929000000,NOK
2011-12-31,EUR,2904000000,10005000000,7101000000,7101000000,-954000000,267000000,1401000000,2768000000,None,None,None,21000000,None,None,None,1091000000,-974000000,102000000,None,0,None,-954000000,137000000,-1072000000,NOK
2011-09-30,EUR,2509000000,8980000000,6471000000,6471000000,-71000000,290000000,1327000000,2513000000,None,None,None,7000000,None,None,None,62000000,-83000000,68000000,None,0,None,-71000000,-9000000,-68000000,NOK
2011-06-30,EUR,2832000000,9275000000,6443000000,6443000000,-487000000,300000000,1416000000,2699000000,None,None,None,42000000,None,None,None,605000000,-544000000,-52000000,None,0,None,-487000000,118000000,-368000000,NOK
2011-03-31,EUR,3074000000,10399000000,7325000000,7325000000,439000000,264000000,1468000000,2658000000,None,None,None,32000000,None,None,None,-27000000,403000000,172000000,None,0,None,439000000,412000000,344000000,NOK
2010-12-31,EUR,3727000000,12651000000,8924000000,8924000000,884000000,310000000,1540000000,2867000000,None,None,None,65000000,None,None,None,-10000000,833000000,91000000,None,0,None,884000000,874000000,745000000,NOK
2010-09-30,EUR,2941000000,10270000000,7329000000,7329000000,403000000,259000000,1407000000,2587000000,None,None,None,79000000,None,None,None,-52000000,321000000,-1000000,None,0,None,403000000,351000000,529000000,NOK
2010-06-30,EUR,6149000000,19525000000,13376000000,13376000000,783000000,546000000,2916000000,5401000000,None,None,None,141000000,None,None,None,-45000000,632000000,353000000,None,0,None,783000000,738000000,576000000,NOK
2010-03-31,EUR,3078000000,9522000000,6444000000,6444000000,488000000,260000000,1433000000,2693000000,None,None,None,73000000,None,None,None,-206000000,411000000,236000000,None,0,None,488000000,282000000,349000000,NOK
2009-12-31,EUR,4073000000,11988000000,7915000000,7915000000,1141000000,294000000,1565000000,2760000000,None,None,None,79000000,None,None,None,-706000000,1063000000,181000000,None,0,None,1141000000,435000000,948000000,NOK
2009-09-30,EUR,3061000000,9810000000,6749000000,6749000000,-426000000,267000000,1386000000,2579000000,None,None,None,48000000,None,None,None,1816000000,-469000000,444000000,None,0,None,-426000000,1390000000,-559000000,NOK
2009-06-30,EUR,3227000000,9912000000,6685000000,6685000000,427000000,304000000,1458000000,2800000000,None,None,None,61000000,None,None,None,None,380000000,93000000,None,0,None,380000000,427000000,380000000,NOK
2009-03-31,EUR,2903000000,9274000000,6371000000,6371000000,55000000,280000000,1500000000,2848000000,None,None,None,77000000,None,None,None,None,-12000000,-16000000,None,0,None,-12000000,55000000,122000000,NOK
2008-12-31,EUR,4120159740,12825642330,8705482590,8705482590,508985930,1650524300,1750121430,3610455470,None,None,None,300651000,None,None,None,381502070,492718070,-71434840,None,0,None,508985930,890488000,589519750,NOK
2008-09-30,EUR,4353499260,12222849910,7869350650,7869350650,1467479630,1359670590,1464642550,2886728900,None,None,None,0,None,None,None,62415760,1408610220,354635000,None,0,None,1467479630,1529895390,1085892370,NOK
2008-06-30,EUR,4427815600,13162711300,8734895700,8734895700,1475514900,1329361400,1397354550,2952300700,None,None,None,0,None,None,None,226220200,1478056700,394614450,None,0,None,1475514900,1701735100,1103776650,NOK
2008-03-31,EUR,4524775740,12653668960,8128893220,8128893220,1530420230,1342362800,1374022300,2994355510,None,None,None,0,None,None,None,277970410,1606403030,406507980,None,0,None,1530420230,1808390640,1221423510,NOK
2007-12-31,EUR,5723694750,15787423780,10063729030,10063729030,2502506630,1180000000,1627658060,3221188120,None,None,None,97840000,None,None,None,338370620,2584635050,779770500,None,0,None,2502506630,2840877250,1844636220,NOK
2007-09-30,EUR,4427464860,12901876470,8474411610,8474411610,1862646660,1310439900,1386123060,2564818200,None,None,None,0,None,None,None,-131744760,1924314420,364400400,None,0,None,1862646660,1730901900,1563417870,NOK
2007-06-30,EUR,3916219770,12586424490,8670204720,8670204720,2358892610,1668881430,1716162710,1556588390,None,None,None,0,None,None,None,-1826978210,2446067470,44326200,None,0,None,2358892610,531914400,2828011560,NOK
2007-03-31,EUR,3260727360,9852546720,6591819360,6591819360,1271803440,961899600,924471600,1988923920,None,None,None,0,None,None,None,103301280,1324951200,336852000,None,0,None,1271803440,1375104720,978367920,NOK
2006-12-31,EUR,3802454450,11730473950,7928019500,7928019500,1522933950,666000000,1068023270,2280278190,None,None,None,52788000,None,None,None,13880580,1571859290,286973110,None,0,None,1522933950,1536814530,1276246070,NOK
2006-09-30,EUR,3118745680,10089827800,6971082120,6971082120,1099204200,917973400,903790120,2019541480,None,None,None,0,None,None,None,197777960,1144117920,288393360,None,0,None,1099204200,1296982160,843905160,NOK
2006-06-30,EUR,3242311800,9820064800,6577753000,6577753000,1503374600,1019727800,981380400,1738937200,None,None,None,0,None,None,None,-269997000,1565982600,401473800,None,0,None,1503374600,1233377600,1141030800,NOK
2006-03-31,EUR,3222489060,9502465180,6279976120,6279976120,1366216560,852235330,945461460,1856272500,None,None,None,0,None,None,None,53625650,1444592510,381154620,None,0,None,1366216560,1419842210,1047762700,NOK
2005-12-31,EUR,3523282570,10332293280,6809010710,6809010710,1367854010,1032911440,1050172720,2155428560,None,None,None,47368000,None,None,None,20789010,1452804410,348209970,None,0,None,1367854010,1388643020,1073530160,NOK
2005-09-30,EUR,2830201950,8394187810,5563985860,5563985860,1147873390,885217350,884386160,1682328560,None,None,None,0,None,None,None,-93093280,1216862160,315852200,None,0,None,1147873390,1054780110,880230210,NOK
2005-06-30,EUR,2881669770,8042906340,5161236570,5161236570,1001853090,947341710,968815890,1879816680,None,None,None,0,None,None,None,-37992780,1105920270,296508870,None,0,None,1001853090,963860310,797022450,NOK
2005-03-31,EUR,2737805070,7393385120,4655580050,4655580050,1117802070,702001300,918773130,1620003000,None,None,None,0,None,None,None,3857150,1191859350,320143450,None,0,None,1117802070,1121659220,862458740,NOK
2004-12-31,EUR,3365352760,9044322000,5678969240,5678969240,1354243920,827298160,1050920000,2011108840,None,None,None,138088000,None,None,None,23522200,1459990240,410328780,None,0,None,1346533140,1370055340,1017112320,NOK
